slug,name,brand,type,mount,film_format,introduced,image,wikidata,commons_file,wikipedia,source
pentax-s3,Pentax S3,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-s3.jpg,Q4046643,Pentax S3.JPG,,wikidata
pentax-sf7,Pentax SF7,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-sf7.jpg,Q4046651,Pentax-SF7.jpg,https://en.wikipedia.org/wiki/Pentax_SF7,wikidata
pentax-sfx,Pentax SFX,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-sfx.jpg,Q4046648,Pentax SFX.jpg,https://en.wikipedia.org/wiki/Pentax_SFX,wikidata
pentax-sfxn,Pentax SFXn,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-sfxn.jpg,Q4046644,Pentax SFXn.jpg,,wikidata
pentax-sl,Pentax SL,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-sl.jpg,Q4046645,Pentax-SL.jpg,,wikidata
pentax-sp1000,Pentax SP1000,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-sp1000.jpg,Q4046646,Asahi pentax sp 1000.JPG,,wikidata
pentax-spotmatic,Pentax Spotmatic,Pentax,SLR,M42,35mm,,images/pentax/pentax-spotmatic.jpg,Q4046655,Pentax Spotmatic camera 1.jpg,https://en.wikipedia.org/wiki/Pentax_Spotmatic,wikidata
pentax-sv-h3v,Pentax SV/H3v,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-sv-h3v.jpg,Q4046649,Pentax SV camera.jpg,,wikidata
pentax-z-5,Pentax Z-5,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-z-5.jpg,Q4046657,PentaxZ5.jpg,,wikidata
pentax-z-50p,Pentax Z-50p,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-z-50p.jpg,Q4046659,Pentax-Z-50p.jpg,,wikidata
pentax-zx-50,Pentax ZX-50,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-zx-50.jpg,Q4046630,PentaxMZ50.jpg,https://en.wikipedia.org/wiki/Pentax_ZX-50,wikidata
