image,model,commons_file,author,licence,licence_url,source
images/canon/canon-eos-850.jpg,Canon EOS 850,Canon eos 850 canon ef 35-80 zoom (51887701377).jpg,Joost J. Bakker IJmuiden,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canon_eos_850_canon_ef_35-80_zoom_(51887701377).jpg
images/canon/canon-eos-ix.jpg,Canon EOS IX,Canon EOS IX E Austin Calhoon Photograph.jpg,Austin Calhoon,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EOS_IX_E_Austin_Calhoon_Photograph.jpg
images/canon/canon-eos-rt.jpg,Canon EOS RT,Canon EOS RT.jpg,Phd0,Public domain,,https://commons.wikimedia.org/wiki/File:Canon_EOS_RT.jpg
images/canon/canon-extender-ef.jpg,Canon Extender EF,Canon EXT 2.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EXT_2.jpg
images/canon/canon-f-1.jpg,Canon F-1,Canon new F-1-Camera.jpg,Burkhard Mücke,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_new_F-1-Camera.jpg
images/canon/canon-f-1n.jpg,Canon F-1N,Canon new F-1-Camera.jpg,Burkhard Mücke,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_new_F-1-Camera.jpg
images/canon/canon-fd-500mm-f-4-5l.jpg,Canon FD 500mm f/4.5L,Canon FD 500mm f-8.0 reflex lens.jpg,Franz van Duns,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_FD_500mm_f-8.0_reflex_lens.jpg
images/canon/canon-fd-55mm-f-1-2-al.jpg,Canon FD 55mm f/1.2 AL,Canon FD 55mm f-1.2 S.S.C. Aspherical Lens (radioactive) (5770714676).jpg,s58y,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canon_FD_55mm_f-1.2_S.S.C._Aspherical_Lens_(radioactive)_(5770714676).jpg
images/canon/canon-fl-1200mm-lens.jpg,Canon FL 1200mm lens,Collector's item- fl 1200mm ssc lens.jpg,Seaberry Liu,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Collector%27s_item-_fl_1200mm_ssc_lens.jpg
images/canon/canon-fp.jpg,Canon FP,Canon FP.jpg,Pbaser (talk) (Uploads),CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Canon_FP.jpg
