image,model,commons_file,author,licence,licence_url,source
images/canon/canon-a-1.jpg,Canon A-1,Canon a1.JPG,Martintoy,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Canon_a1.JPG
images/canon/canon-ae-1-program.jpg,Canon AE-1 Program,Canon AE-1 Program D Barthel.jpg,Denis Barthel,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_AE-1_Program_D_Barthel.jpg
images/canon/canon-ae-1.jpg,Canon AE-1,Canon AE-1 front with 50mm lens.jpg,en:User:Cburnett,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Canon_AE-1_front_with_50mm_lens.jpg
images/canon/canon-al-1.jpg,Canon AL-1,Canon AL-1 film camera.jpg,Riverguardian,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_AL-1_film_camera.jpg
images/canon/canon-at-1.jpg,Canon AT-1,Canon AT-1- 50mm.jpg,Nismo834,Public domain,,https://commons.wikimedia.org/wiki/File:Canon_AT-1-_50mm.jpg
images/canon/canon-av-1.jpg,Canon AV-1,Canon AV-1 front web.jpg,SNx at English Wikipedia,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Canon_AV-1_front_web.jpg
images/canon/canon-canonflex.jpg,Canon Canonflex,Canonflex RP 50mm.jpg,Hiyotada,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canonflex_RP_50mm.jpg
images/canon/canon-ef-100-300mm-lens.jpg,Canon EF 100-300mm lens,Canon 100-300.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_100-300.jpg
images/canon/canon-ef-100-400mm-lens.jpg,Canon EF 100-400mm lens,Objektivschelle2.jpg,No machine-readable author provided. Kapege.de assumed (based on copyright claims).,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,https://commons.wikimedia.org/wiki/File:Objektivschelle2.jpg
images/canon/canon-ef-100mm-f2-8l-macro-is-usm.jpg,Canon EF 100mm F2.8L Macro IS USM,Canon EF 100mm f2.8L Macro IS USM front horizontal.jpg,Lucasbosch,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_100mm_f2.8L_Macro_IS_USM_front_horizontal.jpg
images/canon/canon-ef-11-24mm-lens.jpg,Canon EF 11-24mm lens,Canon EF 11-24mm F4L USM.jpg,Basile Morin,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_11-24mm_F4L_USM.jpg
images/canon/canon-ef-1200-mm-f-5-6-l-usm.jpg,Canon EF 1200 mm f/5.6 L USM,Canon EF 1200mm ƒ-5.6 L USM.jpg,"John Lemieux from Mammoth Lakes, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canon_EF_1200mm_%C6%92-5.6_L_USM.jpg
images/canon/canon-ef-135mm-f2l-usm.jpg,Canon EF 135mm F2L USM,Canon EF 135mm f2L.jpg,Xanthous Onyx,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_135mm_f2L.jpg
images/canon/canon-ef-14mm-f2-8l-ii-usm.jpg,Canon EF 14mm F2.8L II USM,Canon EF 14.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_14.jpg
images/canon/canon-ef-15mm-lens.jpg,Canon EF 15mm lens,Ef15mm.jpg,StephanWershoven,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Ef15mm.jpg
images/canon/canon-ef-16-35mm-f4l-is-usm.jpg,Canon EF 16-35mm F4L IS USM,Canon EF 16-35mm f4L IS USM front horizontal with hood.jpg,Lucasbosch,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_16-35mm_f4L_IS_USM_front_horizontal_with_hood.jpg
images/canon/canon-ef-17-40mm-lens.jpg,Canon EF 17-40mm lens,Canon EF 17-40mm f4L USM.jpg,Nebrot,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_17-40mm_f4L_USM.jpg
images/canon/canon-ef-180mm-f-3-5l-macro-usm-lens.jpg,Canon EF 180mm f/3.5L Macro USM lens,Canon EF 180mm f3.5L Macro USM front angled with tripod ring rotated.jpg,Lucasbosch,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_180mm_f3.5L_Macro_USM_front_angled_with_tripod_ring_rotated.jpg
images/canon/canon-ef-20-35mm-lens.jpg,Canon EF 20-35mm lens,Canon EF 20-35mm f3.5-4.5 lens.JPG,Geognerd,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_20-35mm_f3.5-4.5_lens.JPG
images/canon/canon-ef-200-400mm-f-4l-is-usm-extender-1-4x-lens.jpg,Canon EF 200-400mm f/4L IS USM Extender 1.4x lens,Canon EF 200-400mm cut.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_200-400mm_cut.jpg
images/canon/canon-ef-200mm-lens.jpg,Canon EF 200mm lens,Canon-200mm-2.8-L.jpg,Dirk-Jan Kraan,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon-200mm-2.8-L.jpg
images/canon/canon-ef-20mm-lens.jpg,Canon EF 20mm lens,Canon-20mm MG 2033.jpg,Rama,CC BY-SA 2.0 fr,https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en,https://commons.wikimedia.org/wiki/File:Canon-20mm_MG_2033.jpg
images/canon/canon-ef-22-55mm-lens.jpg,Canon EF 22-55mm lens,"Canon EF 22 55 mm f 4 5,6 USM.JPG",Carlosdisogra,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Canon_EF_22_55_mm_f_4_5,6_USM.JPG"
images/canon/canon-ef-24-105mm-f4l-is-ii-usm.jpg,Canon EF 24-105mm F4L IS II USM,Canon EOS 5D Mark IV+EF 24-105mm f4L IS II USM.jpg,Dinkun Chen,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EOS_5D_Mark_IV%2BEF_24-105mm_f4L_IS_II_USM.jpg
images/canon/canon-ef-24-70mm-f-2-8l-ii-usm.jpg,Canon EF 24-70mm f/2.8L II USM,Canon EF 24-70mm II.jpg,decltype,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_24-70mm_II.jpg
images/canon/canon-ef-24-85mm-f3-5-4-5-usm.jpg,Canon EF 24-85mm F3.5-4.5 USM,Canon EF 24-85 f3.5-4.5 USM.jpg,BulletZ,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_24-85_f3.5-4.5_USM.jpg
images/canon/canon-ef-24mm-f1-4l-ii-usm.jpg,Canon EF 24mm F1.4L II USM,Canon EF 24 f1.4.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_24_f1.4.jpg
images/canon/canon-ef-24mm-f2-8.jpg,Canon EF 24mm F2.8,Canon24mmf280200.jpg,Ashley Pomeroy (talk),CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Canon24mmf280200.jpg
images/canon/canon-ef-28-105mm-lens.jpg,Canon EF 28-105mm lens,Canon EF 28-105mm F3.5-4.5 II USM.jpg,Thegreenj,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Canon_EF_28-105mm_F3.5-4.5_II_USM.jpg
images/canon/canon-ef-28-135mm-lens.jpg,Canon EF 28-135mm lens,Canon ef 28-135 is usm.jpg,,Public domain,,https://commons.wikimedia.org/wiki/File:Canon_ef_28-135_is_usm.jpg
images/canon/canon-ef-28-300mm-lens.jpg,Canon EF 28-300mm lens,Canon EF 28-300 L IS horizontal-view.jpg,Benjamin.nagel,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_28-300_L_IS_horizontal-view.jpg
images/canon/canon-ef-28-70mm-f3-5-4-5-ii.jpg,Canon EF 28-70mm f3.5-4.5 II,Canon EF 28-70mm f3.5-4.5 II Lens.jpg,DYVER,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_28-70mm_f3.5-4.5_II_Lens.jpg
images/canon/canon-ef-28-80mm-lens.jpg,Canon EF 28-80mm lens,Canon 28-80mm f3.5-5.6 USM 3687.jpg,Ashley Pomeroy,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Canon_28-80mm_f3.5-5.6_USM_3687.jpg
images/canon/canon-ef-28-90mm-f4-5-6.jpg,Canon EF 28-90mm F4-5.6,Canon EF 28–90 mm.jpg,Lars A,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_28%E2%80%9390_mm.jpg
images/canon/canon-ef-28mm-lens.jpg,Canon EF 28mm lens,Canon EF 28mm f1.8 USM.jpg,Charles Lanteigne,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_28mm_f1.8_USM.jpg
images/canon/canon-ef-300mm-lens.jpg,Canon EF 300mm lens,Canon EF 300mm f4L IS USM.JPG,Nebrot,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_300mm_f4L_IS_USM.JPG
images/canon/canon-ef-35-350mm-lens.jpg,Canon EF 35-350mm lens,Canon EF 35-350mm f3.5-5.6L.jpg,ScotSNP,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_35-350mm_f3.5-5.6L.jpg
images/canon/canon-ef-35-70mm-lens.jpg,Canon EF 35-70mm lens,Canon EF 35-70mm F3.5-4.5.jpg,"Tobias ""ToMar"" Maier",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_35-70mm_F3.5-4.5.jpg
images/canon/canon-ef-35-80mm-lens.jpg,Canon EF 35-80mm lens,CanonEF 35-80 III.jpg,Alessio Facchin,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:CanonEF_35-80_III.jpg
images/canon/canon-ef-35mm-f-2.jpg,Canon EF 35mm f/2,Canon 35mm f2 II.jpg,Martybugs (talk),CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Canon_35mm_f2_II.jpg
images/canon/canon-ef-400mm-f2-8l-is-ii-usm.jpg,Canon EF 400mm F2.8L IS II USM,Canon EF 400mm f2.8L IS II USM lens.jpg,John Torcasio,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_400mm_f2.8L_IS_II_USM_lens.jpg
images/canon/canon-ef-40mm-lens.jpg,Canon EF 40mm lens,Canon EF 40mm f2.8 STM 9409.jpg,Ashley Pomeroy,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_40mm_f2.8_STM_9409.jpg
images/canon/canon-ef-500mm-lens.jpg,Canon EF 500mm lens,Canon EF 500.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_500.jpg
images/canon/canon-ef-50mm-f1-0l-usm.jpg,Canon EF 50mm F1.0L USM,Canon EF 50mm f 1.0L.JPG,Tt mt6,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_50mm_f_1.0L.JPG
images/canon/canon-ef-50mm-f1-2l-usm.jpg,Canon EF 50mm F1.2L USM,Canon-50mm-f12 MG 2028.jpg,Rama,CC BY-SA 2.0 fr,https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en,https://commons.wikimedia.org/wiki/File:Canon-50mm-f12_MG_2028.jpg
images/canon/canon-ef-50mm-f1-8-ii.jpg,Canon EF 50mm F1.8 II,Canon EF 50mm 18 II.JPG,Nebrot,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_50mm_18_II.JPG
images/canon/canon-ef-50mm-f1-8-stm.jpg,Canon EF 50mm F1.8 STM,Ef 50mm stm.JPG,Geognerd,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Ef_50mm_stm.JPG
images/canon/canon-ef-50mm-f1-8.jpg,Canon EF 50mm F1.8,Canon EF 50mm f18.jpg,JTPickering,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_50mm_f18.jpg
images/canon/canon-ef-600mm-lens.jpg,Canon EF 600mm lens,Canon EF 600.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_600.jpg
images/canon/canon-ef-70-200mm-f2-8l-is-ii-usm.jpg,Canon EF 70-200mm F2.8L IS II USM,Canon Zoom-Lens EF 70-200 F2.8L IS II USM-01a.jpg,"CEphoto, Uwe Aranas",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_Zoom-Lens_EF_70-200_F2.8L_IS_II_USM-01a.jpg
images/canon/canon-ef-70-200mm-f2-8l-is-iii-usm.jpg,Canon EF 70-200mm F2.8L IS III USM,Canon EF 70-200mm f2.8L IS III USM.jpg,Katie Chan,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_70-200mm_f2.8L_IS_III_USM.jpg
images/canon/canon-ef-70-200mm-f2-8l-usm.jpg,Canon EF 70-200mm F2.8L USM,Canon EF 70-200mm f4 IS USM.jpg,Samuel Wong,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_70-200mm_f4_IS_USM.jpg
images/canon/canon-ef-70-210mm-lens.jpg,Canon EF 70-210mm lens,Canon 70-210mm f4 7303.jpg,Ashley Pomeroy,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Canon_70-210mm_f4_7303.jpg
images/canon/canon-ef-70-300mm-f4-5-6-is-ii-usm.jpg,Canon EF 70-300mm F4-5.6 IS II USM,Canon 70-300 DO MG 2020.jpg,Rama,CC BY-SA 2.0 fr,https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en,https://commons.wikimedia.org/wiki/File:Canon_70-300_DO_MG_2020.jpg
images/canon/canon-ef-70-300mm-f4-5-6-is-usm.jpg,Canon EF 70-300mm F4-5.6 IS USM,Canon 70-300mm f4-5.6 is usm.jpg,Rendler,Public domain,,https://commons.wikimedia.org/wiki/File:Canon_70-300mm_f4-5.6_is_usm.jpg
images/canon/canon-ef-75-300mm-f4-5-6-iii.jpg,Canon EF 75-300mm F4-5.6 III,Canon EF 75-300 f-4-5.6 III.jpg,Eusebius,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_75-300_f-4-5.6_III.jpg
images/canon/canon-ef-8-15mm-lens.jpg,Canon EF 8-15mm lens,Canon EF 8-15mmm F4L Fisheye USM cutaway 2012 CP+.jpg,Morio,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_8-15mmm_F4L_Fisheye_USM_cutaway_2012_CP%2B.jpg
images/canon/canon-ef-80-200mm-lens.jpg,Canon EF 80-200mm lens,Canon80-200mm.jpg,Adholmes,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon80-200mm.jpg
images/canon/canon-ef-800mm-f-5-6l-is-usm.jpg,Canon EF 800mm f/5.6L IS USM,Canon EF 800.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_800.jpg
images/canon/canon-ef-85mm-f1-2l-ii-usm.jpg,Canon EF 85mm F1.2L II USM,Canon EF 85mm f1.2L II USM Hooded.jpg,Charles Lanteigne,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_85mm_f1.2L_II_USM_Hooded.jpg
images/canon/canon-ef-90-300mm-lens.jpg,Canon EF 90-300mm lens,Canon EF 90-300mm.JPG,Supertin at English Wikipedia,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_90-300mm.JPG
