slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
nikon-af-s-dx-zoom-nikkor-55-200mm-f-4-5-6g-ed,Nikon AF-S DX Zoom-Nikkor 55-200mm f/4-5.6G ED,Nikon,,35mm,55-200,4,,,,,Q63637309,,,wikidata
nikon-af-s-micro-nikkor-60mm-f-2-8g-ed,Nikon AF-S Micro-Nikkor 60mm f/2.8G ED,Nikon,,35mm,60,2.8,,,,images/nikon/nikon-af-s-micro-nikkor-60mm-f-2-8g-ed.jpg,Q63637390,Nikon 60mm f2.8 AF-S Micro-Nikkor.jpg,,wikidata
nikon-af-s-nikkor-105mm-f-1-4-ed,Nikon AF-S Nikkor 105mm f/1.4 ED,Nikon,,35mm,105,1.4,,,,images/nikon/nikon-af-s-nikkor-105mm-f-1-4-ed.jpg,Q63533198,Nikon AF-S 105mm F1.4.jpg,,wikidata
nikon-af-s-nikkor-120-300mm-f2-8e-fl-ed-sr-vr,Nikon AF-S Nikkor 120-300mm F2.8E FL ED SR VR,Nikon,,35mm,120-300,2.8,,,,,Q116719370,,,wikidata
nikon-af-s-nikkor-14-24mm-f-2-8g-ed,Nikon AF-S Nikkor 14-24mm f/2.8G ED,Nikon,,35mm,14-24,2.8,,,,images/nikon/nikon-af-s-nikkor-14-24mm-f-2-8g-ed.jpg,Q63565067,"AF-S Nikkor 14-24 mm 1-2,8G ED F-mount 02.jpg",,wikidata
nikon-af-s-nikkor-16-35mm-f-4g-ed-vr,Nikon AF-S Nikkor 16-35mm f/4G ED VR,Nikon,,35mm,16-35,4,,,,images/nikon/nikon-af-s-nikkor-16-35mm-f-4g-ed-vr.jpg,Q63565076,Nikkor 16-35 002.jpg,,wikidata
nikon-af-s-nikkor-17-35mm-f-2-8g-ed,Nikon AF-S Nikkor 17-35mm f/2.8G ED,Nikon,,35mm,17-35,,,,,images/nikon/nikon-af-s-nikkor-17-35mm-f-2-8g-ed.jpg,Q63565084,"Nikon 17-35mm f2.8D ED-IF AF-S Zoom-Nikkor, 2013 November.jpg",,wikidata
nikon-af-s-nikkor-18-35mm-f-3-5-4-5g-ed,Nikon AF-S Nikkor 18-35mm f/3.5-4.5G ED,Nikon,,35mm,18,,,,,,Q116719372,,,wikidata
nikon-af-s-nikkor-180-400mm-f4e-tc1-4-fl-ed-vr,Nikon AF-S Nikkor 180-400mm F4E TC1.4 FL ED VR,Nikon,,35mm,180-400,4,,,,,Q116719371,,,wikidata
nikon-af-s-nikkor-200-400mm-f-4g-ed-vr-ii,Nikon AF-S Nikkor 200-400mm f/4G ED VR II,Nikon,,35mm,200-400,4,,,,,Q116719373,,,wikidata
nikon-af-s-nikkor-200-400mm-f-4g-ed-if-vr,Nikon AF-S Nikkor 200-400mm f/4G ED-IF VR,Nikon,,35mm,200-400,4,,,,,Q116719374,,,wikidata
