slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
biogon,Biogon,Carl Zeiss,,35mm,,,,,,,Q2904097,,https://en.wikipedia.org/wiki/Zeiss_Biogon,wikidata
carl-zeiss-batis-distagon-t-2-8-18,Carl Zeiss Batis Distagon T* 2.8/18,Carl Zeiss,,35mm,18,2.8,,,,images/carl-zeiss/carl-zeiss-batis-distagon-t-2-8-18.jpg,Q106925892,Zeiss Batis Distagon F2.8 18mm.jpg,,wikidata
carl-zeiss-batis-sonnar-t-1-8-85,Carl Zeiss Batis Sonnar T* 1.8/85,Carl Zeiss,,35mm,85,1.8,,,,images/carl-zeiss/carl-zeiss-batis-sonnar-t-1-8-85.jpg,Q21233320,Zeiss Batis Sonnar F1.8 85.jpg,https://en.wikipedia.org/wiki/Zeiss_Batis_Sonnar_T*_85mm_F1.8,wikidata
carl-zeiss-planar-50mm-f-0-7,Carl Zeiss Planar 50mm f/0.7,Carl Zeiss,,35mm,50,0.7,,,,images/carl-zeiss/carl-zeiss-planar-50mm-f-0-7.jpg,Q4035883,Zeiss Planar 50mm F0.7 lens attached to camera..jpg,https://en.wikipedia.org/wiki/Carl_Zeiss_Planar_50mm_f/0.7,wikidata
zeiss-batis-sonnar-t-2-8-135mm,Zeiss Batis Sonnar T* 2.8/135mm,Carl Zeiss,,35mm,135,,,,,,Q39053489,,https://en.wikipedia.org/wiki/Zeiss_Batis_Sonnar_T*_2.8/135mm,wikidata
zeiss-distagon-35mm-f-2,Zeiss Distagon 35mm f/2,Carl Zeiss,,35mm,35,2,,,,,Q116159754,,,wikidata
zeiss-loxia-distagon-t-2-8-21mm,Zeiss Loxia Distagon T* 2.8/21mm,Carl Zeiss,,35mm,21,,,,,,Q24907613,,https://en.wikipedia.org/wiki/Zeiss_Loxia_Distagon_T*_2.8/21mm,wikidata
