slug,name,brand,type,mount,film_format,introduced,image,wikidata,commons_file,wikipedia,source
olympus-is-100,Olympus IS-100,Olympus,SLR,Olympus OM,35mm,,images/olympus/olympus-is-100.jpg,Q108864396,Olympus iS100 side with opened flash.jpg,https://en.wikipedia.org/wiki/Olympus_IS-100,wikidata
olympus-om-1,Olympus OM-1,Olympus,SLR,Olympus OM,35mm,,images/olympus/olympus-om-1.jpg,Q913757,Olympus OM-1 MD Chrome.jpg,https://en.wikipedia.org/wiki/Olympus_OM-1,wikidata
olympus-pen,Olympus PEN,Olympus,SLR,,35mm,,images/olympus/olympus-pen.jpg,Q7089247,Pen D3 (2356963031).jpg,https://en.wikipedia.org/wiki/Olympus_Pen,wikidata
