slug,name,mount,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
canon-ef-24-70mm-f-2-8l-ii-usm,Canon EF 24-70mm f/2.8L II USM,Canon EF lens mount,24-70,2.8,2012,,,images/canon/canon-ef-24-70mm-f-2-8l-ii-usm.jpg,Q56344251,Canon EF 24-70mm II.jpg,,wikidata
canon-ef-24-85mm-f3-5-4-5-usm,Canon EF 24-85mm F3.5-4.5 USM,Canon EF lens mount,24-85,3.5,1996,,,images/canon/canon-ef-24-85mm-f3-5-4-5-usm.jpg,Q10887014,Canon EF 24-85 f3.5-4.5 USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_24-85mm_lens,wikidata
canon-ef-24mm-f1-4l-ii-usm,Canon EF 24mm F1.4L II USM,Canon EF lens mount,24,1.4,2008,,,images/canon/canon-ef-24mm-f1-4l-ii-usm.jpg,Q60182640,Canon EF 24 f1.4.jpg,,wikidata
canon-ef-24mm-f2-8,Canon EF 24mm F2.8,,24,,,,,images/canon/canon-ef-24mm-f2-8.jpg,Q60182660,Canon24mmf280200.jpg,,wikidata
canon-ef-24mm-lens,Canon EF 24mm lens,,24,,,,,images/canon/canon-ef-24mm-lens.jpg,Q5033208,Canon EF 24 IS USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_24mm_lens,wikidata
canon-ef-24-105mm-lens,Canon EF 24–105mm lens,,24-105,,2016,,,images/canon/canon-ef-24-105mm-lens.jpg,Q1065981,Canon EF 24-105mm f4L IS USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_24-105mm_lens,wikidata
canon-ef-24-70mm-lens,Canon EF 24–70mm lens,,24-70,,2012,,,images/canon/canon-ef-24-70mm-lens.jpg,Q1156947,Canon 24-70 mm F2.8 lens side at 70 mm.jpg,https://en.wikipedia.org/wiki/Canon_EF_24%E2%80%9370mm_lens,wikidata
canon-ef-28-70mm-f3-5-4-5-ii,Canon EF 28-70mm f3.5-4.5 II,Canon EF lens mount,,,,,,images/canon/canon-ef-28-70mm-f3-5-4-5-ii.jpg,Q129831817,Canon EF 28-70mm f3.5-4.5 II Lens.jpg,,wikidata
canon-ef-28-90mm-f4-5-6,Canon EF 28-90mm F4-5.6,,28-90,,,,,images/canon/canon-ef-28-90mm-f4-5-6.jpg,Q94694935,Canon EF 28–90 mm.jpg,,wikidata
canon-ef-28mm-lens,Canon EF 28mm lens,,28,,1995,,,images/canon/canon-ef-28mm-lens.jpg,Q3880563,Canon EF 28mm f1.8 USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_28mm_lens,wikidata
canon-ef-28-105mm-lens,Canon EF 28–105mm lens,,28-105,,,,,images/canon/canon-ef-28-105mm-lens.jpg,Q4035815,Canon EF 28-105mm F3.5-4.5 II USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_28-105mm_lens,wikidata
canon-ef-28-135mm-lens,Canon EF 28–135mm lens,Canon EF lens mount,28-135,3.5,1998,,,images/canon/canon-ef-28-135mm-lens.jpg,Q3880568,Canon ef 28-135 is usm.jpg,https://en.wikipedia.org/wiki/Canon_EF_28-135mm_lens,wikidata
canon-ef-28-200mm-lens,Canon EF 28–200mm lens,,28-200,,2000,,,,Q17048849,,https://en.wikipedia.org/wiki/Canon_EF_28-200mm_lens,wikidata
canon-ef-28-300mm-lens,Canon EF 28–300mm lens,Canon EF lens mount,28-300,3.5,2004,,,images/canon/canon-ef-28-300mm-lens.jpg,Q3880569,Canon EF 28-300 L IS horizontal-view.jpg,https://en.wikipedia.org/wiki/Canon_EF_28-300mm_lens,wikidata
canon-ef-28-70mm-lens,Canon EF 28–70mm lens,,28-70,,1993,,,images/canon/canon-ef-28-70mm-lens.jpg,Q2936448,Canon EF 28-70 f2.8L USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_28-70mm_lens,wikidata
canon-ef-28-80mm-lens,Canon EF 28–80mm lens,,28-80,,1999,,,images/canon/canon-ef-28-80mm-lens.jpg,Q5033209,Canon 28-80mm f3.5-5.6 USM 3687.jpg,https://en.wikipedia.org/wiki/Canon_EF_28-80mm_lens,wikidata
canon-ef-28-90mm-lens,Canon EF 28–90mm lens,,28-90,,,,,images/canon/canon-ef-28-90mm-lens.jpg,Q4035817,Canon EF 28-90mm F4-5.6 II USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_28-90mm_lens,wikidata
canon-ef-300mm-lens,Canon EF 300mm lens,,300,,,,,images/canon/canon-ef-300mm-lens.jpg,Q3880570,Canon EF 300mm f4L IS USM.JPG,https://en.wikipedia.org/wiki/Canon_EF_300mm_lens,wikidata
canon-ef-35mm-f-2,Canon EF 35mm f/2,Canon EF lens mount,35,2,1990,,,images/canon/canon-ef-35mm-f-2.jpg,Q116592570,Canon 35mm f2 II.jpg,,wikidata
