slug,name,type,mount,introduced,image,wikidata,commons_file,wikipedia,source
canon-eos-500d,Canon EOS 500D,DSLR,,,images/canon/canon-eos-500d.jpg,Q64143,Canon EOS 500d voorzijde.jpg,https://en.wikipedia.org/wiki/Canon_EOS_500D,wikidata
canon-eos-500n,Canon EOS 500N,SLR,Canon EF lens mount,1996,images/canon/canon-eos-500n.jpg,Q1033527,Canon EOS 500N & Carton 135mm f2.8.jpg,https://en.wikipedia.org/wiki/Canon_EOS_500N,wikidata
canon-eos-50d,Canon EOS 50D,DSLR,Canon EF-S lens mount; Canon EF lens mount,,images/canon/canon-eos-50d.jpg,Q64475,Canon EOS 50D with EF-S 18-55 mm IS.jpg,https://en.wikipedia.org/wiki/Canon_EOS_50D,wikidata
canon-eos-50e,Canon EOS 50E,SLR,Canon EF lens mount,1995,images/canon/canon-eos-50e.jpg,Q140562742,Canon EOS50s BL.jpg,,wikidata
canon-eos-550d,Canon EOS 550D,DSLR,Canon EF-S lens mount; Canon EF lens mount,,images/canon/canon-eos-550d.jpg,Q64492,CanonEOS550D 2.jpg,https://en.wikipedia.org/wiki/Canon_EOS_550D,wikidata
canon-eos-5d,Canon EOS 5D,DSLR,,,images/canon/canon-eos-5d.jpg,Q64955,Canon 5D img 0044.jpg,https://en.wikipedia.org/wiki/Canon_EOS_5D,wikidata
canon-eos-5d-mark-ii,Canon EOS 5D Mark II,DSLR,Canon EF lens mount,,images/canon/canon-eos-5d-mark-ii.jpg,Q64962,Canon EOS 5D Mark II with 50mm 1.4 edit1.jpg,https://en.wikipedia.org/wiki/Canon_EOS_5D_Mark_II,wikidata
canon-eos-5d-mark-iii,Canon EOS 5D Mark III,DSLR,Canon EF lens mount,,images/canon/canon-eos-5d-mark-iii.jpg,Q65054,Canon EOS 5D Mark III.jpg,https://en.wikipedia.org/wiki/Canon_EOS_5D_Mark_III,wikidata
canon-eos-5d-mark-iv,Canon EOS 5D Mark IV,DSLR,Canon EF lens mount,,images/canon/canon-eos-5d-mark-iv.jpg,Q26709840,Canon EOS-5D-Mark-IV-03.jpg,https://en.wikipedia.org/wiki/Canon_EOS_5D_Mark_IV,wikidata
canon-eos-5ds,Canon EOS 5Ds,DSLR,Canon EF lens mount,,images/canon/canon-eos-5ds.jpg,Q18985697,Canon EOS 5Ds 2015 CP+.jpg,https://en.wikipedia.org/wiki/Canon_EOS_5DS,wikidata
canon-eos-5ds-r,Canon EOS 5DS R,DSLR,,,images/canon/canon-eos-5ds-r.jpg,Q20888994,Canon EOS 5Ds R 2015 CP+.jpg,,wikidata
canon-eos-600d,Canon EOS 600D,DSLR,Canon EF-S lens mount; Canon EF lens mount,,images/canon/canon-eos-600d.jpg,Q65663,Canon EOS 600D with Canon EF 50mm F1.8.jpg,https://en.wikipedia.org/wiki/Canon_EOS_600D,wikidata
canon-eos-60d,Canon EOS 60D,DSLR,Canon EF-S lens mount; Canon EF lens mount,,images/canon/canon-eos-60d.jpg,Q66176,Canon EOS 60D without lens.png,https://en.wikipedia.org/wiki/Canon_EOS_60D,wikidata
canon-eos-60da,Canon EOS 60Da,DSLR,,,,Q16910924,,,wikidata
canon-eos-620,Canon EOS 620,SLR,Canon EF lens mount,1987,images/canon/canon-eos-620.jpg,Q4035821,Canon EOS 620.jpg,https://en.wikipedia.org/wiki/Canon_EOS_620,wikidata
canon-eos-630,Canon EOS 630,SLR,Canon EF lens mount,1989,images/canon/canon-eos-630.jpg,Q135985205,Canon EOS 600.jpg,https://en.wikipedia.org/wiki/Canon_EOS_630,wikidata
canon-eos-650,Canon EOS 650,SLR,Canon EF lens mount,1987,images/canon/canon-eos-650.jpg,Q67627,Canon EOS 650.jpg,https://en.wikipedia.org/wiki/Canon_EOS_650,wikidata
canon-eos-650d,Canon EOS 650D,DSLR,Canon EF-S lens mount,,images/canon/canon-eos-650d.jpg,Q66203,EOS 650D.jpg,https://en.wikipedia.org/wiki/Canon_EOS_650D,wikidata
canon-eos-6d,Canon EOS 6D,DSLR,Canon EF lens mount,,images/canon/canon-eos-6d.jpg,Q66215,Canon EOS 6D.jpg,https://en.wikipedia.org/wiki/Canon_EOS_6D,wikidata
canon-eos-6d-mark-ii,Canon EOS 6D Mark II,DSLR,Canon EF lens mount,,images/canon/canon-eos-6d-mark-ii.jpg,Q31201954,Canon EOS 6D Mark II by EF50mm F1.2L USM.jpg,https://en.wikipedia.org/wiki/Canon_EOS_6D_Mark_II,wikidata
canon-eos-700d,Canon EOS 700D,DSLR,,,images/canon/canon-eos-700d.jpg,Q7983923,Canon EOS 700D 18-55 Kit.jpg,https://en.wikipedia.org/wiki/Canon_EOS_700D,wikidata
canon-eos-70d,Canon EOS 70D,DSLR,Canon EF-S lens mount; Canon EF lens mount,,images/canon/canon-eos-70d.jpg,Q13582495,EOS70D 18-135STM flash.jpg,https://en.wikipedia.org/wiki/Canon_EOS_70D,wikidata
canon-eos-750d,Canon EOS 750D,DSLR,,,images/canon/canon-eos-750d.jpg,Q19008035,Canon EOS Kiss X8i 2015 CP+.jpg,https://en.wikipedia.org/wiki/Canon_EOS_750D,wikidata
canon-eos-760d,Canon EOS 760D,DSLR,,,images/canon/canon-eos-760d.jpg,Q19571185,EOS760-1.jpg,https://en.wikipedia.org/wiki/Canon_EOS_760D,wikidata
canon-eos-77d,Canon EOS 77D,DSLR,Canon EF lens mount; Canon EF-S lens mount,,images/canon/canon-eos-77d.jpg,Q28790002,Canon EOS 9000D top 2017 CP+.jpg,https://en.wikipedia.org/wiki/Canon_EOS_77D,wikidata
canon-eos-7d-mark-ii,Canon EOS 7D Mark II,DSLR,Canon EF-S lens mount; Canon EF lens mount,,images/canon/canon-eos-7d-mark-ii.jpg,Q18048758,Jan2015 Canon EOS 7D Mark II Body-Crop.jpg,https://en.wikipedia.org/wiki/Canon_EOS_7D_Mark_II,wikidata
canon-eos-800d,Canon EOS 800D,DSLR,Canon EF-S lens mount; Canon EF lens mount,,images/canon/canon-eos-800d.jpg,Q28790013,Canon EOS Kiss X9i front-left 2017 CP+.jpg,https://en.wikipedia.org/wiki/Canon_EOS_800D,wikidata
canon-eos-80d,Canon EOS 80D,DSLR,Canon EF-S lens mount; Canon EF lens mount,,images/canon/canon-eos-80d.jpg,Q22815060,Canon 80D-2.jpg,https://en.wikipedia.org/wiki/Canon_EOS_80D,wikidata
canon-eos-850,Canon EOS 850,SLR,Canon EF lens mount,1988,images/canon/canon-eos-850.jpg,Q136094701,Canon eos 850 canon ef 35-80 zoom (51887701377).jpg,,wikidata
canon-eos-850d,Canon EOS 850D,DSLR,Canon EF-S lens mount; Canon EF lens mount,,images/canon/canon-eos-850d.jpg,Q93428008,Canon EOS Kiss X10i 8 Jul 2020a.jpg,https://en.wikipedia.org/wiki/Canon_EOS_850D,wikidata
canon-eos-90d,Canon EOS 90D,DSLR,Canon EF-S lens mount; Canon EF lens mount,,images/canon/canon-eos-90d.jpg,Q67152522,Canon EOS 90D with EF-S 18-135mm.jpg,https://en.wikipedia.org/wiki/Canon_EOS_90D,wikidata
canon-eos-d2000,Canon EOS D2000,DSLR,,,images/canon/canon-eos-d2000.jpg,Q66259,Canon EOS D2000 CP+ 2011.jpg,https://en.wikipedia.org/wiki/Canon_EOS_D2000,wikidata
canon-eos-d30,Canon EOS D30,DSLR,Canon EF lens mount,,images/canon/canon-eos-d30.jpg,Q66265,EOS D30 body.JPG,https://en.wikipedia.org/wiki/Canon_EOS_D30,wikidata
canon-eos-d60,Canon EOS D60,DSLR,Canon EF lens mount,,images/canon/canon-eos-d60.jpg,Q66277,Canon D60 brighterorange.jpg,https://en.wikipedia.org/wiki/Canon_EOS_D60,wikidata
canon-eos-ix,Canon EOS IX,SLR,Canon EF lens mount,1996,images/canon/canon-eos-ix.jpg,Q4035824,Canon EOS IX E Austin Calhoon Photograph.jpg,https://en.wikipedia.org/wiki/Canon_EOS_IX,wikidata
canon-eos-rt,Canon EOS RT,SLR,Canon EF lens mount,1989,images/canon/canon-eos-rt.jpg,Q69700,Canon EOS RT.jpg,https://en.wikipedia.org/wiki/Canon_EOS_RT,wikidata
canon-eos-1,Canon EOS-1,SLR,Canon EF lens mount,1989,images/canon/canon-eos-1.jpg,Q5033226,Canon EOS 1 kpl.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1,wikidata
canon-eos-1d-c,Canon EOS-1D C,DSLR,,,images/canon/canon-eos-1d-c.jpg,Q63374,2012 Canon EOS 1D C 2013 CP+.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1D_C,wikidata
canon-eos-1d-mark-ii,Canon EOS-1D Mark II,DSLR,,,images/canon/canon-eos-1d-mark-ii.jpg,Q63382,Canon 1D II img 0496.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1D_Mark_II,wikidata
canon-eos-1d-mark-iii,Canon EOS-1D Mark III,DSLR,Canon EF lens mount,,images/canon/canon-eos-1d-mark-iii.jpg,Q63580,Eos-1D Mark III Front View.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1D_Mark_III,wikidata
canon-eos-1d-mark-iv,Canon EOS-1D Mark IV,DSLR,,,images/canon/canon-eos-1d-mark-iv.jpg,Q63921,Canon EOS-1D Mark IV fotographix.ca.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1D_Mark_IV,wikidata
canon-eos-1d-x,Canon EOS-1D X,DSLR,,,images/canon/canon-eos-1d-x.jpg,Q63934,2012 Canon EOS 1D X 2012 CP+.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1D_X,wikidata
canon-eos-1d-x-mark-iii,Canon EOS-1D X Mark III,DSLR,Canon EF lens mount,,images/canon/canon-eos-1d-x-mark-iii.jpg,Q72934580,Canon EOS-1DX Mark III.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1D_X_Mark_III,wikidata
canon-eos-1ds,Canon EOS-1Ds,DSLR,,,images/canon/canon-eos-1ds.jpg,Q63950,Canon EOS 1Ds with EF 50mm II.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1Ds,wikidata
canon-eos-1ds-mark-ii,Canon EOS-1Ds Mark II,DSLR,,,images/canon/canon-eos-1ds-mark-ii.jpg,Q63978,Canon EOS 1Ds Mk II.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1Ds_Mark_II,wikidata
canon-eos-1ds-mark-iii,Canon EOS-1Ds Mark III,DSLR,,,images/canon/canon-eos-1ds-mark-iii.jpg,Q64002,EOS 1Ds Mark III img 0828.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1Ds_Mark_III,wikidata
canon-eos-1n,Canon EOS-1N,SLR,Canon EF lens mount,1994,images/canon/canon-eos-1n.jpg,Q1033525,Canon EOS-1N camera.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1N,wikidata
canon-eos-1n-rs,Canon EOS-1N RS,SLR,Canon EF lens mount,1995,images/canon/canon-eos-1n-rs.jpg,Q124034251,Logo Canon EOS-1N RS.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1N_RS,wikidata
canon-eos-1v,Canon EOS-1v,SLR,Canon EF lens mount,2000,images/canon/canon-eos-1v.jpg,Q69711,Canon EOS 1V HS -01.jpg,https://en.wikipedia.org/wiki/Canon_EOS-1V,wikidata
canon-eos-3,Canon EOS-3,SLR,Canon EF lens mount,1998,images/canon/canon-eos-3.jpg,Q5033227,Canon EOS-3.jpg,https://en.wikipedia.org/wiki/Canon_EOS-3,wikidata
canon-eos-7d,Canon EOS 7D,DSLR,Canon EF-S lens mount; Canon EF lens mount,,images/canon/canon-eos-7d.jpg,Q66219,Canon EOS 7D front 06.jpg,https://en.wikipedia.org/wiki/Canon_EOS_7D,wikidata
canon-ex-auto,Canon EX Auto,SLR,Canon EE lens mount,1972,,,,,wikipedia
canon-exee,Canon EXEE,SLR,Canon EE lens mount,1969,,,,,wikipedia
canon-f-1,Canon F-1,SLR,Canon FD lens mount,1971,images/canon/canon-f-1.jpg,Q63083,Canon new F-1-Camera.jpg,https://en.wikipedia.org/wiki/Canon_F-1,wikidata
canon-f-1n,Canon F-1N,SLR,Canon FD lens mount,1976,images/canon/canon-f-1n.jpg,Q65640347,Canon new F-1-Camera.jpg,,wikidata
canon-fp,Canon FP,SLR,Canon FL lens mount,1964,images/canon/canon-fp.jpg,Q13581317,Canon FP.jpg,https://en.wikipedia.org/wiki/Canon_FP,wikidata
canon-ft-ql,Canon FT QL,SLR,Canon FL lens mount,1966,images/canon/canon-ft-ql.jpg,Q1033534,"Vintage Canon FT QL 35mm SLR Film Camera, Made In Japan, Circa 1966 - 1972 (13473210395).jpg",https://en.wikipedia.org/wiki/Canon_FT_QL,wikidata
canon-ftb,Canon FTb,SLR,Canon FD lens mount,1971,images/canon/canon-ftb.jpg,Q63101,Canon FTb.jpg,https://en.wikipedia.org/wiki/Canon_FTb,wikidata
canon-ftbn,Canon FTbn,SLR,Canon FD lens mount,1973,,,,,wikipedia
canon-fx,Canon FX,SLR,Canon FL lens mount,1964,images/canon/canon-fx.jpg,Q1033533,Canon FX.jpg,https://en.wikipedia.org/wiki/Canon_FX,wikidata
canon-new-f-1,Canon New F-1,SLR,Canon FD lens mount,1981,images/canon/canon-new-f-1.jpg,Q63091,La toute nouvelle SECMA F16 ! - The all new SECMA F16 ! Circuit de Clastres le 10 mai 2014. (14139095706).jpg,https://en.wikipedia.org/wiki/Canon_New_F-1,wikidata
canon-pellix,Canon Pellix,SLR,Canon FL lens mount,1965,images/canon/canon-pellix.jpg,Q1033535,Canon pellix.jpg,https://en.wikipedia.org/wiki/Canon_Pellix,wikidata
canon-pellix-ql,Canon Pellix QL,SLR,Canon FL lens mount,1966,,,,,wikipedia
canon-t50,Canon T50,SLR,Canon FD lens mount,1983,images/canon/canon-t50.jpg,Q63107,Canon T50.jpg,https://en.wikipedia.org/wiki/Canon_T50,wikidata
canon-t60,Canon T60,SLR,Canon FD lens mount,1990,,,,,wikipedia
canon-t70,Canon T70,SLR,Canon FD lens mount,1984,images/canon/canon-t70.jpg,Q63164,Canon T70 3815.jpg,https://en.wikipedia.org/wiki/Canon_T70,wikidata
canon-t80,Canon T80,SLR,Canon FD lens mount,1985,images/canon/canon-t80.jpg,Q63215,Canon T80.jpg,https://en.wikipedia.org/wiki/Canon_T80,wikidata
canon-t90,Canon T90,SLR,Canon FD lens mount,1986,images/canon/canon-t90.jpg,Q63226,Canon T90 1 2 50mm.jpg,https://en.wikipedia.org/wiki/Canon_T90,wikidata
canon-tl,Canon TL,SLR,Canon FL lens mount,1968,,,,,wikipedia
canon-tlb,Canon TLb,SLR,Canon FD lens mount,1974,images/canon/canon-tlb.jpg,Q63248,Canon TLb.jpg,https://en.wikipedia.org/wiki/Canon_TLb,wikidata
canon-tx,Canon TX,SLR,Canon FD lens mount,1975,images/canon/canon-tx.jpg,Q63255,"Canon TX, 8 September 2018.jpg",https://en.wikipedia.org/wiki/Canon_TX,wikidata
canonflex-r2000,Canonflex R2000,SLR,Canon R lens mount,2000,,,,,wikipedia
canonflex-rm,Canonflex RM,SLR,Canon R lens mount,1962,,,,,wikipedia
canonflex-rp,Canonflex RP,SLR,Canon R lens mount,1960,,,,,wikipedia
