slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
samyang-135mm-f-2-0-ed-umc,Samyang 135mm f/2.0 ED UMC,Samyang,,35mm,135,2,,,,,Q64490804,,,wikidata
samyang-14mm-f-2-8-if-ed-umc-aspherical,Samyang 14mm f/2.8 IF ED UMC Aspherical,Samyang,,35mm,14,2.8,,,,images/samyang/samyang-14mm-f-2-8-if-ed-umc-aspherical.jpg,Q7413174,Samyang 14mm f2.8 lens - Diliff.jpg,https://en.wikipedia.org/wiki/Samyang_14mm_f/2.8_IF_ED_UMC_Aspherical,wikidata
samyang-24mm-f-1-4-ed-as-umc,Samyang 24mm f/1.4 ED AS UMC,Samyang,,35mm,,,,,,images/samyang/samyang-24mm-f-1-4-ed-as-umc.jpg,Q24912704,Samyang 24mm f1.4 lens.jpg,https://en.wikipedia.org/wiki/Samyang_24mm_f/1.4_ED_AS_UMC,wikidata
samyang-500mm-f-8,Samyang 500mm f/8,Samyang,,35mm,500,8,,,,images/samyang/samyang-500mm-f-8.jpg,Q25038830,Walimex 9392.jpg,https://en.wikipedia.org/wiki/Samyang_500mm_f/8,wikidata
samyang-85mm-f-1-4-if-aspherical,Samyang 85mm f/1.4 IF Aspherical,Samyang,,35mm,85,1.4,,,,images/samyang/samyang-85mm-f-1-4-if-aspherical.jpg,Q4049032,Samyang 85mm 2684.jpg,https://en.wikipedia.org/wiki/Samyang_85mm_f/1.4_IF_Aspherical,wikidata
